 u,U -> m,M
x-axis: "Mass{p3+p4}&"  from 320.000000 to 620.000000 N_bins= 300
Diff. cross section [pb/GeV]
5.875000E+02 8.713658E-05 +/-  3.577325E-07
5.885000E+02 8.664156E-05 +/-  3.555528E-07
5.895000E+02 8.584260E-05 +/-  3.524856E-07
5.905000E+02 8.558778E-05 +/-  3.505340E-07
5.915000E+02 8.528294E-05 +/-  3.487248E-07
5.925000E+02 8.436497E-05 +/-  3.448654E-07
5.935000E+02 8.345943E-05 +/-  3.419197E-07
5.945000E+02 8.334420E-05 +/-  3.396458E-07
5.955000E+02 8.229177E-05 +/-  3.398105E-07
5.965000E+02 8.175971E-05 +/-  3.417372E-07
5.975000E+02 8.089762E-05 +/-  3.417075E-07
5.985000E+02 8.074375E-05 +/-  3.427722E-07
5.995000E+02 8.032092E-05 +/-  3.413745E-07
6.005000E+02 7.918147E-05 +/-  3.370737E-07
6.015000E+02 7.884983E-05 +/-  3.352080E-07
6.025000E+02 7.838282E-05 +/-  3.362052E-07
6.035000E+02 7.811411E-05 +/-  3.335284E-07
6.045000E+02 7.692503E-05 +/-  3.294225E-07
6.055000E+02 7.640699E-05 +/-  3.269980E-07
6.065000E+02 7.610837E-05 +/-  3.252199E-07
6.075000E+02 7.597035E-05 +/-  3.232439E-07
6.085000E+02 7.483641E-05 +/-  3.196631E-07
6.095000E+02 7.419776E-05 +/-  3.169632E-07
6.105000E+02 7.415527E-05 +/-  3.159502E-07
6.115000E+02 7.342763E-05 +/-  3.134313E-07
6.125000E+02 7.299875E-05 +/-  3.108053E-07
6.135000E+02 7.290869E-05 +/-  3.097088E-07
6.145000E+02 7.147470E-05 +/-  3.046876E-07
6.155000E+02 7.117513E-05 +/-  3.027414E-07
6.165000E+02 7.057617E-05 +/-  2.999315E-07
6.175000E+02 7.019992E-05 +/-  2.982050E-07
6.185000E+02 7.042156E-05 +/-  2.976957E-07
6.195000E+02 6.990975E-05 +/-  2.953673E-07
