 u,U -> u,U
x-axis: "Mass{p3+p4}]"  from 20.000000 to 200.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.709000E+02 3.795368E-02 +/-  1.212944E-03
1.715000E+02 3.585974E-02 +/-  1.165983E-03
1.721000E+02 3.491161E-02 +/-  1.121659E-03
1.727000E+02 3.581028E-02 +/-  1.166049E-03
1.733000E+02 3.281856E-02 +/-  1.045513E-03
1.739000E+02 3.281620E-02 +/-  1.044088E-03
1.745000E+02 3.290071E-02 +/-  1.057297E-03
1.751000E+02 3.169790E-02 +/-  1.002011E-03
1.757000E+02 3.174344E-02 +/-  1.008288E-03
1.763000E+02 3.158759E-02 +/-  1.010998E-03
1.769000E+02 3.095046E-02 +/-  9.920741E-04
1.775000E+02 3.207857E-02 +/-  1.016036E-03
1.781000E+02 2.744998E-02 +/-  8.584398E-04
1.787000E+02 2.947259E-02 +/-  9.286663E-04
1.793000E+02 2.773674E-02 +/-  8.778791E-04
1.799000E+02 2.850715E-02 +/-  9.006997E-04
1.805000E+02 2.836619E-02 +/-  8.968593E-04
1.811000E+02 2.618762E-02 +/-  8.150816E-04
1.817000E+02 2.524223E-02 +/-  7.892596E-04
1.823000E+02 2.657996E-02 +/-  8.398037E-04
1.829000E+02 2.722062E-02 +/-  8.499803E-04
1.835000E+02 2.488401E-02 +/-  7.768182E-04
1.841000E+02 2.379674E-02 +/-  7.444668E-04
1.847000E+02 2.529089E-02 +/-  7.815495E-04
1.853000E+02 2.288369E-02 +/-  7.102607E-04
1.859000E+02 2.345826E-02 +/-  7.181333E-04
1.865000E+02 2.445860E-02 +/-  7.600332E-04
1.871000E+02 2.220060E-02 +/-  6.774830E-04
1.877000E+02 2.161898E-02 +/-  6.569625E-04
1.883000E+02 2.109760E-02 +/-  6.446178E-04
1.889000E+02 2.115939E-02 +/-  6.557801E-04
1.895000E+02 2.071158E-02 +/-  6.342527E-04
1.901000E+02 2.133012E-02 +/-  6.561643E-04
1.907000E+02 1.970154E-02 +/-  6.059394E-04
1.913000E+02 1.977559E-02 +/-  6.093073E-04
1.919000E+02 1.985843E-02 +/-  5.987179E-04
1.925000E+02 1.705689E-02 +/-  5.147552E-04
1.931000E+02 1.809671E-02 +/-  5.322613E-04
1.937000E+02 1.777649E-02 +/-  5.283128E-04
1.943000E+02 1.801125E-02 +/-  5.447580E-04
1.949000E+02 1.770200E-02 +/-  5.357818E-04
1.955000E+02 1.834880E-02 +/-  5.569697E-04
1.961000E+02 1.763637E-02 +/-  5.367283E-04
1.967000E+02 1.708377E-02 +/-  5.160451E-04
1.973000E+02 1.712858E-02 +/-  5.122220E-04
1.979000E+02 1.643334E-02 +/-  5.005940E-04
1.985000E+02 1.680562E-02 +/-  5.054374E-04
1.991000E+02 1.633231E-02 +/-  4.828274E-04
1.997000E+02 1.508855E-02 +/-  4.594494E-04
