 c,C -> m,M
x-axis: "Mass{p3+p4}$"  from 920.000000 to 1220.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.171500E+03 1.828270E-08 +/-  6.292071E-11
1.172500E+03 1.818057E-08 +/-  6.275547E-11
1.173500E+03 1.808126E-08 +/-  6.240845E-11
1.174500E+03 1.802939E-08 +/-  6.219486E-11
1.175500E+03 1.784397E-08 +/-  6.168454E-11
1.176500E+03 1.777108E-08 +/-  6.137001E-11
1.177500E+03 1.775421E-08 +/-  6.126043E-11
1.178500E+03 1.746517E-08 +/-  6.100759E-11
1.179500E+03 1.744496E-08 +/-  6.122352E-11
1.180500E+03 1.745695E-08 +/-  6.108422E-11
1.181500E+03 1.734342E-08 +/-  6.074588E-11
1.182500E+03 1.722914E-08 +/-  6.051300E-11
1.183500E+03 1.706940E-08 +/-  6.037693E-11
1.184500E+03 1.702187E-08 +/-  6.011343E-11
1.185500E+03 1.685134E-08 +/-  5.961509E-11
1.186500E+03 1.687670E-08 +/-  5.950310E-11
1.187500E+03 1.680586E-08 +/-  5.916171E-11
1.188500E+03 1.655773E-08 +/-  5.855461E-11
1.189500E+03 1.656865E-08 +/-  5.839509E-11
1.190500E+03 1.647286E-08 +/-  5.811370E-11
1.191500E+03 1.629983E-08 +/-  5.823799E-11
1.192500E+03 1.636355E-08 +/-  5.867022E-11
1.193500E+03 1.618651E-08 +/-  5.815277E-11
1.194500E+03 1.611977E-08 +/-  5.802855E-11
1.195500E+03 1.596117E-08 +/-  5.772552E-11
1.196500E+03 1.599052E-08 +/-  5.759522E-11
1.197500E+03 1.584621E-08 +/-  5.719061E-11
1.198500E+03 1.584174E-08 +/-  5.694646E-11
1.199500E+03 1.560374E-08 +/-  5.637283E-11
1.200500E+03 1.564228E-08 +/-  5.628323E-11
1.201500E+03 1.549858E-08 +/-  5.597386E-11
1.202500E+03 1.545497E-08 +/-  5.568458E-11
1.203500E+03 1.532040E-08 +/-  5.528942E-11
1.204500E+03 1.520333E-08 +/-  5.490111E-11
1.205500E+03 1.519679E-08 +/-  5.536798E-11
1.206500E+03 1.506365E-08 +/-  5.514855E-11
1.207500E+03 1.496052E-08 +/-  5.504725E-11
1.208500E+03 1.498825E-08 +/-  5.497064E-11
1.209500E+03 1.489612E-08 +/-  5.463910E-11
1.210500E+03 1.483662E-08 +/-  5.442593E-11
1.211500E+03 1.466741E-08 +/-  5.400335E-11
1.212500E+03 1.463888E-08 +/-  5.372244E-11
1.213500E+03 1.457582E-08 +/-  5.347809E-11
1.214500E+03 1.447191E-08 +/-  5.312296E-11
1.215500E+03 1.427794E-08 +/-  5.257049E-11
1.216500E+03 1.432169E-08 +/-  5.251237E-11
1.217500E+03 1.419387E-08 +/-  5.213432E-11
1.218500E+03 1.426174E-08 +/-  5.207199E-11
1.219500E+03 1.402253E-08 +/-  5.148023E-11
