 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
3.568000E+02 2.699617E-04 +/-  3.585351E-06
3.584000E+02 2.570623E-04 +/-  3.223639E-06
3.600000E+02 2.471509E-04 +/-  3.232879E-06
3.616000E+02 2.467211E-04 +/-  3.232183E-06
3.632000E+02 2.402362E-04 +/-  2.989892E-06
3.648000E+02 2.352170E-04 +/-  2.970955E-06
3.664000E+02 2.253069E-04 +/-  2.856453E-06
3.680000E+02 2.264178E-04 +/-  2.930448E-06
3.696000E+02 2.280398E-04 +/-  3.046057E-06
3.712000E+02 2.207099E-04 +/-  2.891905E-06
3.728000E+02 2.163115E-04 +/-  2.789789E-06
3.744000E+02 2.161865E-04 +/-  2.810625E-06
3.760000E+02 2.093443E-04 +/-  2.688883E-06
3.776000E+02 2.059887E-04 +/-  2.690944E-06
3.792000E+02 2.002175E-04 +/-  2.520063E-06
3.808000E+02 1.960764E-04 +/-  2.493977E-06
3.824000E+02 1.950454E-04 +/-  2.551217E-06
3.840000E+02 1.898952E-04 +/-  2.428487E-06
3.856000E+02 1.855163E-04 +/-  2.346065E-06
3.872000E+02 1.806210E-04 +/-  2.289450E-06
3.888000E+02 1.809415E-04 +/-  2.306317E-06
3.904000E+02 1.741723E-04 +/-  2.158180E-06
3.920000E+02 1.689965E-04 +/-  2.129210E-06
3.936000E+02 1.676649E-04 +/-  2.122396E-06
3.952000E+02 1.655223E-04 +/-  2.059259E-06
3.968000E+02 1.632514E-04 +/-  1.989638E-06
3.984000E+02 1.620177E-04 +/-  2.066436E-06
4.000000E+02 1.561794E-04 +/-  1.977992E-06
4.016000E+02 1.539945E-04 +/-  1.924192E-06
4.032000E+02 1.500623E-04 +/-  1.891154E-06
4.048000E+02 1.524055E-04 +/-  1.914442E-06
4.064000E+02 1.445903E-04 +/-  1.786042E-06
4.080000E+02 1.447531E-04 +/-  1.773388E-06
4.096000E+02 1.430042E-04 +/-  1.799884E-06
4.112000E+02 1.424497E-04 +/-  1.796282E-06
4.128000E+02 1.426155E-04 +/-  1.810722E-06
4.144000E+02 1.314439E-04 +/-  1.598778E-06
4.160000E+02 1.348073E-04 +/-  1.694701E-06
4.176000E+02 1.353961E-04 +/-  1.706800E-06
4.192000E+02 1.305968E-04 +/-  1.647322E-06
4.208000E+02 1.293002E-04 +/-  1.596852E-06
4.224000E+02 1.249734E-04 +/-  1.569623E-06
4.240000E+02 1.230020E-04 +/-  1.519816E-06
4.256000E+02 1.186859E-04 +/-  1.465715E-06
4.272000E+02 1.191447E-04 +/-  1.439040E-06
4.288000E+02 1.196162E-04 +/-  1.493044E-06
4.304000E+02 1.177214E-04 +/-  1.505475E-06
4.320000E+02 1.127291E-04 +/-  1.420353E-06
4.336000E+02 1.125767E-04 +/-  1.446609E-06
4.352000E+02 1.101624E-04 +/-  1.415996E-06
4.368000E+02 1.076322E-04 +/-  1.331663E-06
4.384000E+02 1.066209E-04 +/-  1.378247E-06
4.400000E+02 1.027630E-04 +/-  1.255202E-06
4.416000E+02 1.030049E-04 +/-  1.295358E-06
4.432000E+02 1.017088E-04 +/-  1.254276E-06
4.448000E+02 9.993811E-05 +/-  1.251546E-06
4.464000E+02 9.687194E-05 +/-  1.189133E-06
4.480000E+02 9.670672E-05 +/-  1.213427E-06
4.496000E+02 9.428845E-05 +/-  1.144926E-06
4.512000E+02 9.360253E-05 +/-  1.152887E-06
4.528000E+02 9.430471E-05 +/-  1.173626E-06
4.544000E+02 9.243933E-05 +/-  1.155467E-06
4.560000E+02 9.115566E-05 +/-  1.129884E-06
4.576000E+02 8.813318E-05 +/-  1.084308E-06
4.592000E+02 8.636243E-05 +/-  1.057892E-06
4.608000E+02 8.303420E-05 +/-  1.023205E-06
4.624000E+02 8.300887E-05 +/-  1.009574E-06
4.640000E+02 8.125327E-05 +/-  9.765215E-07
4.656000E+02 8.180468E-05 +/-  1.006380E-06
4.672000E+02 8.126927E-05 +/-  9.824007E-07
4.688000E+02 7.926624E-05 +/-  9.916654E-07
4.704000E+02 7.835872E-05 +/-  9.559826E-07
4.720000E+02 7.671888E-05 +/-  9.281109E-07
4.736000E+02 7.618779E-05 +/-  9.285774E-07
4.752000E+02 7.571777E-05 +/-  9.393424E-07
4.768000E+02 7.317932E-05 +/-  8.787754E-07
4.784000E+02 7.169024E-05 +/-  8.586580E-07
4.800000E+02 7.139753E-05 +/-  8.589824E-07
4.816000E+02 7.214468E-05 +/-  8.800561E-07
4.832000E+02 6.876945E-05 +/-  7.989917E-07
4.848000E+02 6.795048E-05 +/-  8.239907E-07
4.864000E+02 6.870638E-05 +/-  8.281913E-07
4.880000E+02 6.702886E-05 +/-  8.040831E-07
4.896000E+02 6.544203E-05 +/-  7.916160E-07
4.912000E+02 6.553022E-05 +/-  8.045209E-07
4.928000E+02 6.365873E-05 +/-  7.588475E-07
4.944000E+02 6.349531E-05 +/-  7.587219E-07
4.960000E+02 6.315516E-05 +/-  7.606429E-07
4.976000E+02 6.001968E-05 +/-  7.103799E-07
4.992000E+02 6.020224E-05 +/-  7.219873E-07
