 u,U -> m,M
x-axis: "Mass{p3+p4}$"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.256000E+02 4.732776E-04 +/-  4.874766E-06
4.272000E+02 4.697628E-04 +/-  4.727367E-06
4.288000E+02 4.633869E-04 +/-  4.768482E-06
4.304000E+02 4.625748E-04 +/-  4.758279E-06
4.320000E+02 4.498576E-04 +/-  4.607451E-06
4.336000E+02 4.408432E-04 +/-  4.491021E-06
4.352000E+02 4.293348E-04 +/-  4.312674E-06
4.368000E+02 4.277054E-04 +/-  4.237449E-06
4.384000E+02 4.091682E-04 +/-  4.118736E-06
4.400000E+02 4.156360E-04 +/-  4.187844E-06
4.416000E+02 4.107733E-04 +/-  4.087347E-06
4.432000E+02 3.991911E-04 +/-  4.119569E-06
4.448000E+02 3.961592E-04 +/-  4.130149E-06
4.464000E+02 3.829377E-04 +/-  3.876555E-06
4.480000E+02 3.805777E-04 +/-  3.907722E-06
4.496000E+02 3.820860E-04 +/-  3.942444E-06
4.512000E+02 3.752153E-04 +/-  3.831409E-06
4.528000E+02 3.663993E-04 +/-  3.797671E-06
4.544000E+02 3.581773E-04 +/-  3.662601E-06
4.560000E+02 3.427202E-04 +/-  3.410376E-06
4.576000E+02 3.565495E-04 +/-  3.692870E-06
4.592000E+02 3.369291E-04 +/-  3.424445E-06
4.608000E+02 3.440982E-04 +/-  3.538666E-06
4.624000E+02 3.306306E-04 +/-  3.377758E-06
4.640000E+02 3.254636E-04 +/-  3.328303E-06
4.656000E+02 3.281372E-04 +/-  3.329575E-06
4.672000E+02 3.253572E-04 +/-  3.325408E-06
4.688000E+02 3.081053E-04 +/-  3.064008E-06
4.704000E+02 3.148137E-04 +/-  3.221770E-06
4.720000E+02 3.081916E-04 +/-  3.118362E-06
4.736000E+02 3.009296E-04 +/-  3.045588E-06
4.752000E+02 2.952019E-04 +/-  2.920472E-06
4.768000E+02 2.940057E-04 +/-  2.953002E-06
4.784000E+02 2.832898E-04 +/-  2.857169E-06
4.800000E+02 2.851187E-04 +/-  2.844265E-06
4.816000E+02 2.754966E-04 +/-  2.668670E-06
4.832000E+02 2.795249E-04 +/-  2.778285E-06
4.848000E+02 2.728558E-04 +/-  2.807811E-06
4.864000E+02 2.688685E-04 +/-  2.647693E-06
4.880000E+02 2.640661E-04 +/-  2.627753E-06
4.896000E+02 2.648688E-04 +/-  2.619099E-06
4.912000E+02 2.623668E-04 +/-  2.643641E-06
4.928000E+02 2.571510E-04 +/-  2.542090E-06
4.944000E+02 2.458375E-04 +/-  2.420617E-06
4.960000E+02 2.472307E-04 +/-  2.433875E-06
4.976000E+02 2.463516E-04 +/-  2.404090E-06
4.992000E+02 2.438150E-04 +/-  2.421493E-06
