 G,G -> u,U
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.455500E+03 -8.291926E-03 +/-  2.612159E-05
1.456500E+03 -8.238674E-03 +/-  2.595686E-05
1.457500E+03 -8.230148E-03 +/-  2.588660E-05
1.458500E+03 -8.187395E-03 +/-  2.585210E-05
1.459500E+03 -8.122982E-03 +/-  2.567952E-05
1.460500E+03 -8.100738E-03 +/-  2.562940E-05
1.461500E+03 -8.053769E-03 +/-  2.549755E-05
1.462500E+03 -8.042974E-03 +/-  2.541117E-05
1.463500E+03 -7.976530E-03 +/-  2.538363E-05
1.464500E+03 -7.914351E-03 +/-  2.531999E-05
1.465500E+03 -7.936846E-03 +/-  2.530731E-05
1.466500E+03 -7.955139E-03 +/-  2.527115E-05
1.467500E+03 -7.829311E-03 +/-  2.505760E-05
1.468500E+03 -7.798188E-03 +/-  2.503785E-05
1.469500E+03 -7.770537E-03 +/-  2.492796E-05
1.470500E+03 -7.777871E-03 +/-  2.488409E-05
1.471500E+03 -7.679908E-03 +/-  2.465221E-05
1.472500E+03 -7.646475E-03 +/-  2.454597E-05
1.473500E+03 -7.664786E-03 +/-  2.459671E-05
1.474500E+03 -7.589096E-03 +/-  2.456614E-05
1.475500E+03 -7.586300E-03 +/-  2.453428E-05
1.476500E+03 -7.523512E-03 +/-  2.439337E-05
1.477500E+03 -7.484626E-03 +/-  2.438523E-05
1.478500E+03 -7.481292E-03 +/-  2.433478E-05
1.479500E+03 -7.455510E-03 +/-  2.423696E-05
1.480500E+03 -7.406015E-03 +/-  2.409043E-05
1.481500E+03 -7.348621E-03 +/-  2.393292E-05
1.482500E+03 -7.326153E-03 +/-  2.383360E-05
1.483500E+03 -7.277804E-03 +/-  2.369690E-05
1.484500E+03 -7.266698E-03 +/-  2.374389E-05
1.485500E+03 -7.256998E-03 +/-  2.385536E-05
1.486500E+03 -7.219187E-03 +/-  2.373034E-05
1.487500E+03 -7.170378E-03 +/-  2.364556E-05
1.488500E+03 -7.108125E-03 +/-  2.352416E-05
1.489500E+03 -7.129340E-03 +/-  2.350526E-05
1.490500E+03 -7.055404E-03 +/-  2.331791E-05
1.491500E+03 -7.053616E-03 +/-  2.325626E-05
1.492500E+03 -7.044656E-03 +/-  2.317540E-05
1.493500E+03 -6.943115E-03 +/-  2.298198E-05
1.494500E+03 -6.953613E-03 +/-  2.296558E-05
1.495500E+03 -6.933594E-03 +/-  2.295625E-05
1.496500E+03 -6.875859E-03 +/-  2.298634E-05
1.497500E+03 -6.865446E-03 +/-  2.293726E-05
1.498500E+03 -6.851003E-03 +/-  2.295294E-05
1.499500E+03 -6.806689E-03 +/-  2.283414E-05
