 d,D -> m,M
x-axis: "Mass{p3+p4}&"  from 20.000000 to 320.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.865000E+02 2.793077E-04 +/-  1.405051E-06
2.875000E+02 2.757788E-04 +/-  1.377980E-06
2.885000E+02 2.714655E-04 +/-  1.351920E-06
2.895000E+02 2.669834E-04 +/-  1.327662E-06
2.905000E+02 2.637428E-04 +/-  1.309665E-06
2.915000E+02 2.621281E-04 +/-  1.362568E-06
2.925000E+02 2.558209E-04 +/-  1.345354E-06
2.935000E+02 2.566032E-04 +/-  1.350094E-06
2.945000E+02 2.494895E-04 +/-  1.324127E-06
2.955000E+02 2.468079E-04 +/-  1.360598E-06
2.965000E+02 2.403101E-04 +/-  1.293683E-06
2.975000E+02 2.417465E-04 +/-  1.305663E-06
2.985000E+02 2.350794E-04 +/-  1.261715E-06
2.995000E+02 2.346243E-04 +/-  1.274586E-06
3.005000E+02 2.302177E-04 +/-  1.241338E-06
3.015000E+02 2.282768E-04 +/-  1.237864E-06
3.025000E+02 2.218126E-04 +/-  1.214898E-06
3.035000E+02 2.197750E-04 +/-  1.212299E-06
3.045000E+02 2.167743E-04 +/-  1.181385E-06
3.055000E+02 2.164150E-04 +/-  1.189594E-06
3.065000E+02 2.107262E-04 +/-  1.156730E-06
3.075000E+02 2.115238E-04 +/-  1.157138E-06
3.085000E+02 2.066307E-04 +/-  1.127077E-06
3.095000E+02 2.039966E-04 +/-  1.112610E-06
3.105000E+02 2.010291E-04 +/-  1.095263E-06
3.115000E+02 1.983853E-04 +/-  1.083171E-06
3.125000E+02 1.974869E-04 +/-  1.078080E-06
3.135000E+02 1.931436E-04 +/-  1.055084E-06
3.145000E+02 1.908841E-04 +/-  1.034825E-06
3.155000E+02 1.893724E-04 +/-  1.030952E-06
3.165000E+02 1.856938E-04 +/-  1.007005E-06
3.175000E+02 1.846842E-04 +/-  9.986606E-07
3.185000E+02 1.818410E-04 +/-  9.783598E-07
3.195000E+02 1.781441E-04 +/-  9.605406E-07
