 u,U -> u,U
x-axis: "Mass{p3+p4}a"  from 20.000000 to 500.000000 N_bins= 300
Diff. cross section [pb/GeV]
4.096000E+02 1.637271E-01 +/-  5.527629E-03
4.112000E+02 1.632860E-01 +/-  5.655863E-03
4.128000E+02 1.605660E-01 +/-  5.466785E-03
4.144000E+02 1.694314E-01 +/-  5.597995E-03
4.160000E+02 1.721317E-01 +/-  5.808429E-03
4.176000E+02 1.662205E-01 +/-  5.591842E-03
4.192000E+02 1.524725E-01 +/-  5.176572E-03
4.208000E+02 1.594738E-01 +/-  5.338815E-03
4.224000E+02 1.454986E-01 +/-  4.883804E-03
4.240000E+02 1.493248E-01 +/-  5.015304E-03
4.256000E+02 1.459861E-01 +/-  4.891631E-03
4.272000E+02 1.437230E-01 +/-  4.824781E-03
4.288000E+02 1.459226E-01 +/-  4.826853E-03
4.304000E+02 1.410452E-01 +/-  4.724795E-03
4.320000E+02 1.351794E-01 +/-  4.510835E-03
4.336000E+02 1.390963E-01 +/-  4.540428E-03
4.352000E+02 1.368298E-01 +/-  4.444457E-03
4.368000E+02 1.283943E-01 +/-  4.275134E-03
4.384000E+02 1.273892E-01 +/-  4.178225E-03
4.400000E+02 1.240279E-01 +/-  4.142688E-03
4.416000E+02 1.253789E-01 +/-  4.064234E-03
4.432000E+02 1.306889E-01 +/-  4.319956E-03
4.448000E+02 1.238578E-01 +/-  4.058734E-03
4.464000E+02 1.235655E-01 +/-  4.016015E-03
4.480000E+02 1.178844E-01 +/-  3.894951E-03
4.496000E+02 1.149961E-01 +/-  3.717420E-03
4.512000E+02 1.191839E-01 +/-  3.889995E-03
4.528000E+02 1.119638E-01 +/-  3.656559E-03
4.544000E+02 1.108280E-01 +/-  3.643619E-03
4.560000E+02 1.175807E-01 +/-  3.682091E-03
4.576000E+02 1.073829E-01 +/-  3.471753E-03
4.592000E+02 1.077388E-01 +/-  3.469610E-03
4.608000E+02 9.918465E-02 +/-  3.196662E-03
4.624000E+02 1.054874E-01 +/-  3.403293E-03
4.640000E+02 1.008137E-01 +/-  3.246342E-03
4.656000E+02 1.012148E-01 +/-  3.223654E-03
4.672000E+02 9.759237E-02 +/-  3.126793E-03
4.688000E+02 9.708048E-02 +/-  3.129068E-03
4.704000E+02 9.834220E-02 +/-  3.149881E-03
4.720000E+02 9.806360E-02 +/-  3.178986E-03
4.736000E+02 9.814376E-02 +/-  3.102341E-03
4.752000E+02 9.290147E-02 +/-  2.936635E-03
4.768000E+02 8.899893E-02 +/-  2.885154E-03
4.784000E+02 9.290697E-02 +/-  2.994246E-03
4.800000E+02 8.750236E-02 +/-  2.775946E-03
4.816000E+02 8.460117E-02 +/-  2.651458E-03
4.832000E+02 8.427306E-02 +/-  2.648414E-03
4.848000E+02 8.525670E-02 +/-  2.643928E-03
4.864000E+02 8.446579E-02 +/-  2.645341E-03
4.880000E+02 8.103452E-02 +/-  2.594371E-03
4.896000E+02 8.358285E-02 +/-  2.607114E-03
4.912000E+02 8.539083E-02 +/-  2.611662E-03
4.928000E+02 7.427527E-02 +/-  2.369099E-03
4.944000E+02 7.807076E-02 +/-  2.460732E-03
4.960000E+02 7.676940E-02 +/-  2.413481E-03
4.976000E+02 7.211663E-02 +/-  2.283964E-03
4.992000E+02 7.406884E-02 +/-  2.308003E-03
