 c,C -> m,M
x-axis: "Mass{p3+p4}&"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.469500E+03 1.243862E-08 +/-  4.074369E-11
1.470500E+03 1.240860E-08 +/-  4.058353E-11
1.471500E+03 1.228431E-08 +/-  4.023607E-11
1.472500E+03 1.229486E-08 +/-  4.037563E-11
1.473500E+03 1.221623E-08 +/-  4.033661E-11
1.474500E+03 1.211783E-08 +/-  4.013649E-11
1.475500E+03 1.206167E-08 +/-  3.991750E-11
1.476500E+03 1.206300E-08 +/-  4.004509E-11
1.477500E+03 1.203064E-08 +/-  3.998395E-11
1.478500E+03 1.191713E-08 +/-  3.967728E-11
1.479500E+03 1.185299E-08 +/-  3.943588E-11
1.480500E+03 1.179709E-08 +/-  3.925844E-11
1.481500E+03 1.177318E-08 +/-  3.911521E-11
1.482500E+03 1.168890E-08 +/-  3.886004E-11
1.483500E+03 1.168519E-08 +/-  3.892192E-11
1.484500E+03 1.158313E-08 +/-  3.896205E-11
1.485500E+03 1.153525E-08 +/-  3.882997E-11
1.486500E+03 1.148621E-08 +/-  3.867644E-11
1.487500E+03 1.146037E-08 +/-  3.866031E-11
1.488500E+03 1.140399E-08 +/-  3.846359E-11
1.489500E+03 1.132515E-08 +/-  3.823240E-11
1.490500E+03 1.127453E-08 +/-  3.804998E-11
1.491500E+03 1.121371E-08 +/-  3.784044E-11
1.492500E+03 1.114224E-08 +/-  3.759739E-11
1.493500E+03 1.112017E-08 +/-  3.756246E-11
1.494500E+03 1.112295E-08 +/-  3.750089E-11
1.495500E+03 1.100699E-08 +/-  3.753377E-11
1.496500E+03 1.097648E-08 +/-  3.751334E-11
1.497500E+03 1.090306E-08 +/-  3.740601E-11
1.498500E+03 1.087358E-08 +/-  3.730020E-11
1.499500E+03 1.076265E-08 +/-  3.704701E-11
1.500500E+03 1.079974E-08 +/-  3.698799E-11
1.501500E+03 1.074164E-08 +/-  3.680854E-11
1.502500E+03 1.068918E-08 +/-  3.667615E-11
1.503500E+03 1.063057E-08 +/-  3.648208E-11
1.504500E+03 1.055266E-08 +/-  3.627073E-11
1.505500E+03 1.053535E-08 +/-  3.612440E-11
1.506500E+03 1.046818E-08 +/-  3.591417E-11
1.507500E+03 1.044062E-08 +/-  3.606094E-11
1.508500E+03 1.035613E-08 +/-  3.596653E-11
1.509500E+03 1.031838E-08 +/-  3.589535E-11
1.510500E+03 1.031798E-08 +/-  3.581346E-11
1.511500E+03 1.021285E-08 +/-  3.557253E-11
1.512500E+03 1.018323E-08 +/-  3.546095E-11
1.513500E+03 1.013033E-08 +/-  3.523255E-11
1.514500E+03 1.010750E-08 +/-  3.512678E-11
1.515500E+03 1.005701E-08 +/-  3.493071E-11
1.516500E+03 9.968458E-09 +/-  3.468990E-11
1.517500E+03 9.956502E-09 +/-  3.457754E-11
1.518500E+03 9.931444E-09 +/-  3.445684E-11
1.519500E+03 9.855571E-09 +/-  3.423872E-11
