 u,U -> e,E
x-axis: "Mass{p3+p4}]"  from 20.000000 to 400.000000 N_bins= 300
Diff. cross section [pb/GeV]
2.524333E+02 1.530617E-01 +/-  5.292018E-03
2.537000E+02 1.508855E-01 +/-  5.125267E-03
2.549667E+02 1.550952E-01 +/-  5.246227E-03
2.562333E+02 1.481841E-01 +/-  5.055132E-03
2.575000E+02 1.462095E-01 +/-  4.832872E-03
2.587667E+02 1.335768E-01 +/-  4.465747E-03
2.600333E+02 1.299426E-01 +/-  4.425045E-03
2.613000E+02 1.324177E-01 +/-  4.341890E-03
2.625667E+02 1.267285E-01 +/-  4.206231E-03
2.638333E+02 1.298237E-01 +/-  4.267614E-03
2.651000E+02 1.202996E-01 +/-  4.033587E-03
2.663667E+02 1.184201E-01 +/-  3.967625E-03
2.676333E+02 1.097387E-01 +/-  3.662207E-03
2.689000E+02 1.197792E-01 +/-  3.933360E-03
2.701667E+02 1.124854E-01 +/-  3.700046E-03
2.714333E+02 1.099082E-01 +/-  3.642942E-03
2.727000E+02 1.044907E-01 +/-  3.487951E-03
2.739667E+02 1.072800E-01 +/-  3.470520E-03
2.752333E+02 1.007869E-01 +/-  3.322377E-03
2.765000E+02 9.891212E-02 +/-  3.336314E-03
2.777667E+02 9.461764E-02 +/-  3.269759E-03
2.790333E+02 9.173048E-02 +/-  3.122674E-03
2.803000E+02 9.297206E-02 +/-  3.203370E-03
2.815667E+02 9.344381E-02 +/-  3.176398E-03
2.828333E+02 8.585854E-02 +/-  2.930347E-03
2.841000E+02 8.626262E-02 +/-  2.962867E-03
2.853667E+02 8.516207E-02 +/-  2.894209E-03
2.866333E+02 8.493366E-02 +/-  2.917329E-03
2.879000E+02 8.245818E-02 +/-  2.856418E-03
2.891667E+02 7.822679E-02 +/-  2.636039E-03
2.904333E+02 7.866046E-02 +/-  2.635517E-03
2.917000E+02 7.761685E-02 +/-  2.601741E-03
2.929667E+02 7.958864E-02 +/-  2.660526E-03
2.942333E+02 7.377470E-02 +/-  2.516394E-03
2.955000E+02 7.804056E-02 +/-  2.594676E-03
2.967667E+02 7.050270E-02 +/-  2.324227E-03
2.980333E+02 7.189655E-02 +/-  2.389439E-03
2.993000E+02 6.882745E-02 +/-  2.322689E-03
3.005667E+02 6.240674E-02 +/-  2.122297E-03
3.018333E+02 6.967527E-02 +/-  2.284224E-03
3.031000E+02 6.867734E-02 +/-  2.271207E-03
3.043667E+02 6.224776E-02 +/-  2.079141E-03
3.056333E+02 6.188947E-02 +/-  2.017121E-03
3.069000E+02 5.845380E-02 +/-  1.944018E-03
3.081667E+02 6.015192E-02 +/-  2.002351E-03
3.094333E+02 5.696554E-02 +/-  1.886490E-03
3.107000E+02 5.767348E-02 +/-  1.876752E-03
3.119667E+02 5.609610E-02 +/-  1.843400E-03
3.132333E+02 6.032826E-02 +/-  1.933857E-03
3.145000E+02 5.440461E-02 +/-  1.768291E-03
3.157667E+02 5.561743E-02 +/-  1.794660E-03
3.170333E+02 5.318677E-02 +/-  1.710273E-03
3.183000E+02 4.927002E-02 +/-  1.596727E-03
3.195667E+02 5.152458E-02 +/-  1.683289E-03
3.208333E+02 5.009703E-02 +/-  1.637301E-03
3.221000E+02 4.858850E-02 +/-  1.570456E-03
3.233667E+02 4.669868E-02 +/-  1.512619E-03
3.246333E+02 4.824894E-02 +/-  1.553445E-03
3.259000E+02 5.048286E-02 +/-  1.599399E-03
3.271667E+02 4.448782E-02 +/-  1.423148E-03
3.284333E+02 4.427363E-02 +/-  1.412696E-03
3.297000E+02 4.743258E-02 +/-  1.480916E-03
3.309667E+02 4.294383E-02 +/-  1.363523E-03
3.322333E+02 4.434936E-02 +/-  1.403097E-03
3.335000E+02 4.341483E-02 +/-  1.367341E-03
3.347667E+02 4.241074E-02 +/-  1.354609E-03
3.360333E+02 3.942210E-02 +/-  1.270237E-03
3.373000E+02 4.083542E-02 +/-  1.285998E-03
3.385667E+02 3.960452E-02 +/-  1.247234E-03
3.398333E+02 3.847955E-02 +/-  1.208530E-03
